id,origin,destination,arrival_time
0,8,7,22.36274208095061
1,12,7,54.01825165033383
2,6,18,78.15312857262522
3,4,8,111.3839111526754
4,2,8,119.333875661642
5,9,15,146.74300561243774
6,7,14,162.47007547130278
7,19,2,214.19788201596384
8,7,12,241.33919434999646
9,9,8,245.60336750189572
10,1,13,297.0358802683112
11,15,6,307.72816855438765
12,15,1,323.3014245610907
13,5,2,341.277406405636
14,0,4,363.4039802789324
15,0,12,393.3487695767857
16,0,3,396.3319282594545
17,9,0,406.5879220678481
18,0,10,438.2384609174665
19,7,7,446.4506144612845
20,0,13,446.9009954901194
21,0,3,449.22990619929595
22,17,16,450.0267683371707
23,0,10,450.8665686657996
24,5,9,453.7161231476187
25,19,13,453.90315462627643
26,11,10,454.61987842170345
27,0,18,455.24778152308545
28,0,9,455.56959048901274
29,0,3,457.3178466638327
30,0,9,458.0023381752598
31,0,17,458.81171670244777
32,0,15,459.0881211976111
33,0,13,459.7683168808847
34,15,10,460.00222206337156
35,16,7,460.01786010693115
36,0,18,463.3947525453208
37,2,15,463.5605732727184
38,8,7,463.84589155868633
39,6,15,464.435668205605
40,1,5,465.9178409054697
41,0,18,466.2959045278172
42,0,12,466.45256606687235
43,2,0,466.93333373621584
44,0,10,469.474289624314
45,1,13,470.01486533367853
46,0,18,470.852180091616
47,0,14,472.98275957363563
48,0,4,473.24300549507313
49,0,10,475.0695977203072
50,7,9,475.18469220649746
51,0,19,477.0292109628734
52,3,8,478.1499739531241
53,0,14,478.7688761695527
54,0,11,481.4517051544096
55,0,3,481.52966867044614
56,0,2,482.4536431420776
57,0,2,485.07303212370994
58,0,13,485.5641725432489
59,0,3,486.62593774906685
60,18,12,488.06823421034187
61,0,19,488.87362418028636
62,0,4,491.0882418033909
63,0,12,491.1005662333017
64,0,14,491.70561411272854
65,0,11,492.5088400109088
66,0,16,492.568391147848
67,0,16,492.92816503047294
68,0,19,495.41670787655426
69,0,3,496.2915838986672
70,0,12,496.5728552875772
71,0,12,496.7243758313282
72,14,3,497.3254746613408
73,8,0,499.10748424181
74,0,11,499.40469462182114
75,0,19,503.8184664815014
76,6,0,504.36794298771565
77,0,15,504.7598569124089
78,0,12,505.7372002206142
79,0,13,508.2638497197919
80,0,12,508.2667500393717
81,4,4,509.26517626323243
82,0,1,510.0478780868685
83,0,4,510.217056648263
84,0,1,512.3546996838867
85,0,9,514.411239061884
86,0,5,514.4588905956425
87,0,16,523.5258851845231
88,0,14,524.2891396072538
89,0,10,526.7874709971898
90,18,0,527.7808542133054
91,14,0,531.6255355861094
92,0,1,531.8214371153509
93,0,16,538.0426856763667
94,0,12,545.739469047229
95,0,19,548.3469475370591
96,0,9,552.8625755977714
97,0,1,559.1042779316964
98,0,11,584.2335104504219
99,0,6,584.8140874120505
100,15,0,632.4965657172496
101,11,0,632.9295329688251
102,13,0,642.7263041963739
103,10,16,661.4864943529
104,4,0,661.8423241887958
105,0,17,686.3885540402752
106,2,18,688.6045259337305
107,0,12,695.6164798123593
108,18,0,700.1619049830603
109,0,18,710.3626546221095
110,5,0,721.2724856310426
111,18,10,722.474079755939
112,14,3,730.0119413340418
113,17,9,736.1108164426828
114,0,16,736.6945702101156
115,15,0,736.9934123134412
116,0,5,737.8626355363939
117,3,3,739.5965443016057
118,10,11,740.0678041756724
119,8,2,740.541128132932
120,14,16,741.1891767110075
121,8,15,744.0144957606552
122,19,4,746.6684695640512
123,9,8,748.2013181364026
124,12,4,751.6465234234702
125,11,0,757.6139665210059
126,13,15,758.6844848585824
127,11,4,758.9290426406224
128,1,6,759.3716924562633
129,6,18,765.8289225053906
130,0,18,767.7651827616196
131,10,12,770.8705025815811
132,0,8,773.7329154696973
133,16,0,783.8465344395692
134,19,11,783.8795583403396
135,7,14,784.993753210854
136,3,0,786.9733428703913
137,0,11,792.3104635463824
138,0,7,805.2915491177869
139,1,0,879.3553236272369
140,0,16,882.9171410783873
141,9,0,893.2315492103837
142,0,15,902.1072841441644
143,0,8,918.7724077923109
144,7,9,927.1164668328829
145,2,0,934.0693165363191
146,15,10,981.1205736715291
147,0,5,984.1974879190427
148,12,13,997.3881762321638
149,0,17,999.2941837649263
150,11,0,1038.3635331244545
151,19,0,1053.9149733300217
152,16,0,1078.5439569404098
153,4,0,1087.0346411877904
154,7,5,1088.1447424072169
155,9,0,1092.4987059117623
156,1,0,1093.099010343303
157,10,0,1096.7217443740908
158,2,0,1099.68382386606
159,4,4,1101.5303074559674
160,18,0,1102.0819524993408
161,17,0,1103.3977708281082
162,6,15,1104.9131897277603
163,0,3,1105.5456687474762
164,8,0,1106.3671834279871
165,16,0,1107.1779660125596
166,5,0,1107.2965127908617
167,10,19,1108.3748039223424
168,2,16,1111.8619780591478
169,16,0,1112.6490548305665
170,5,0,1113.558395126513
171,16,0,1114.346767590362
172,16,0,1114.5779701995007
